seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,balanced,1,NCCL-D,nccl,D,3,3,512,1060.969,14.41,13.076,169235.3875,252.224,169487.6115,16.188,3.059,0.0,False,0
13042,balanced,1,NCCL-D,nccl,D,4,4,512,1056.641,116.591,299.802,183203.275,161.5375,183364.8125,303.22,66.70400000000001,0.0,False,0
13042,balanced,1,NCCL-D,nccl,D,5,5,512,1049.84,126.145,304.614,197142.4315,156.4675,197298.89899999998,307.62,63.973,0.0,False,0
13042,balanced,1,NCCL-D,nccl,D,6,6+7,1024,1090.342,103.765,325.286,210066.3675,477.6245,210543.992,328.384,3.0679999999999996,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,0,0,512,1013.754,940.646,946.464,17443.659,211.752,17655.411,967.456,35.472,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,1,1,512,991.406,1556.545,1556.258,45619.8935,230.4855,45850.379,1559.268,3.058,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,2,2,512,954.985,128.793,125.19,75975.314,232.7395,76208.05350000001,128.256,3.181,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,3,3,512,943.222,162.919,168.512,105830.1165,234.9085,106065.025,171.488,3.04,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,4,4,512,960.167,1080.224,1082.434,135703.6825,235.065,135938.7475,1085.546,3.044,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,5,5,512,952.145,862.688,864.924,165996.3765,236.417,166232.7935,867.93,3.0519999999999996,0.0,False,0
13042,balanced,1,NCCL-P,nccl,P,6,6+7,1024,950.762,5211.023,5217.082,214150.49349999998,565.1514999999999,214715.64500000002,5220.102,3.059,0.0,False,0
13042,balanced,1,MSCCLPP-D,mscclpp,D,0,0,512,1132.691,369.742,279.311,129892.79550000001,1616.9875,131509.783,1565.873,1244.367,0.0,False,0
13042,balanced,1,MSCCLPP-D,mscclpp,D,1,1,512,1076.014,351.696,194.733,129533.287,1660.3494999999998,131193.6365,1238.186,878.078,0.0,False,0
